X,Y,t_id,art,druckzone,symbolori,hoehe,einbaujahr,druckzone_bemerkung,lagebestimmung,lagebestimmung_code,eigentuemer,bemerkung,name_nummer,art_code,dimension,zulaessiger_betriebsdruck,zustand,icon_url
7.63181299017135,46.1384195432578,"120",divers (inconnu),Zinal,100,1789.85,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62388256169965,46.1497624784979,"121",divers (inconnu),Zinal,100.2,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61932500757963,46.1563984721524,"122",divers (inconnu),Zinal,293.3,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61718967960248,46.1563023388849,"123",divers (inconnu),Zinal,295.1,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.62015545480064,46.1556232387889,"124",divers (inconnu),Zinal,163.7,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.6197455543435,46.156499621015,"125",divers (inconnu),Zinal,96.4,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61840040616583,46.1563256003004,"126",divers (inconnu),Zinal,8.5,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61849376621043,46.1568018259747,"127",divers (inconnu),Zinal,8.5,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61901922177824,46.1563763549494,"128",divers (inconnu),Zinal,93.3,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61915726121771,46.1566435543737,"129",divers (inconnu),Zinal,60.7,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61954982127417,46.1564921842741,"130",divers (inconnu),Zinal,296.4,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61544632551139,46.1558249227588,"131",divers (inconnu),Zinal,100,1668.16,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.61543228023195,46.1558287497875,"132",divers (inconnu),Zinal,100,1668.27,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.61800671238186,46.1563173322627,"133",divers (inconnu),Zinal,100,1574.13,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
