X,Y,t_id,einbaujahr,name_nummer,art,art_code,nennweite,typ,bemerkung,lagebestimmung,lagebestimmung_code,hoehenbestimmung,hoehenbestimmung_code,druckzone,druckzone_bemerkung,hoehe,symbolori,zustand,icon_url
7.60212797926062,46.1800030016285,"1","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1478.81,360,unbekannt/inconnue,./0.png
7.60225983737424,46.1798821873878,"2","1900",,vanne hydrant,"6","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1477.58,360,unbekannt/inconnue,./0.png
7.60277392146422,46.1781237803398,"3","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1454.98,360,unbekannt/inconnue,./0.png
7.60270996043475,46.1782094299087,"4","1900",,vanne hydrant,"6","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1454.68,360,unbekannt/inconnue,./0.png
7.60268429728678,46.178201856731,"5","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1454.58,360,unbekannt/inconnue,./0.png
7.6025023502728,46.1783998427068,"6","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1453.57,360,unbekannt/inconnue,./0.png
7.60245255114253,46.1784017496924,"7","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1449.5,360,unbekannt/inconnue,./0.png
7.6023752202534,46.178494443926,"8","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1453.03,360,unbekannt/inconnue,./0.png
7.60232257762991,46.1785415398236,"9","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1452.79,360,unbekannt/inconnue,./0.png
7.60225143578935,46.1786123747497,"10","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1452.47,360,unbekannt/inconnue,./0.png
